"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","region","TAHUN","BULAN","period1","period","BL","VEG","REPRO","RIPE","total","Paddy_planting","Paddy_harvested","luas_baku_ha","area_RS","area_factor"
"106","JAWA BARAT","INDRAMAYU","KEDOKAN BUNDER",3212101,3212,2017,"JANUARI","2017-01","'2017-01-24",137.25,724,1086.125,274.625,2222,40,28,2112,2301.12415049684,1.08954741974282
"107","JAWA BARAT","INDRAMAYU","JUNTINYUAT",3212110,3212,2017,"JANUARI","2017-01","'2017-01-24",88.875,1079.4375,2252.0625,116.4375,3536.8125,73,0,4016,3697.46986537968,0.92068472743518
"108","JAWA BARAT","INDRAMAYU","SLIYEG",3212120,3212,2017,"JANUARI","2017-01","'2017-01-24",91.0625,2024.125,2074,226.75,4415.9375,639,14,4304,4606.89381574102,1.0703749571889
"109","JAWA BARAT","INDRAMAYU","JATIBARANG",3212130,3212,2017,"JANUARI","2017-01","'2017-01-24",48.25,1013.6875,1083.5625,353.9375,2499.4375,1252,91,2999,2609.27535594125,0.870048468136462
"110","JAWA BARAT","INDRAMAYU","BALONGAN",3212140,3212,2017,"JANUARI","2017-01","'2017-01-24",44.25,948.0625,37.3125,8.5625,1038.1875,1574,0,1987,1084.93057469694,0.546014380823824
"111","JAWA BARAT","INDRAMAYU","INDRAMAYU",3212150,3212,2017,"JANUARI","2017-01","'2017-01-24",161.1875,1123,179.25,171,1634.4375,604,38,1758,1710.75071367456,0.973123272852426
"112","JAWA BARAT","INDRAMAYU","SINDANG",3212160,3212,2017,"JANUARI","2017-01","'2017-01-24",154.375,52.0625,565.25,533.375,1305.0625,0,0,1981,1380.5777159554,0.696909498210704
"113","JAWA BARAT","INDRAMAYU","CANTIGI",3212161,3212,2017,"JANUARI","2017-01","'2017-01-24",14.3125,75.125,355.8125,221,666.25,245,0,1281,697.089011471824,0.544175652983469
"114","JAWA BARAT","INDRAMAYU","PASEKAN",3212162,3212,2017,"JANUARI","2017-01","'2017-01-24",55.1875,51.375,310.25,148.1875,565,55,0,816,596.904010282201,0.731500012600737
"115","JAWA BARAT","INDRAMAYU","LOHBENER",3212170,3212,2017,"JANUARI","2017-01","'2017-01-24",45.3125,659.75,1121.1875,553.25,2379.5,0,80,2554,2478.52746883478,0.970449283020664
"116","JAWA BARAT","INDRAMAYU","ARAHAN",3212171,3212,2017,"JANUARI","2017-01","'2017-01-24",95.6875,1195.3125,342.25,261.1875,1894.4375,266,25,2418,1958.01120925015,0.809764768093527
"117","JAWA BARAT","INDRAMAYU","LOSARANG",3212180,3212,2017,"JANUARI","2017-01","'2017-01-24",112.8125,1090.75,3078.3125,602.5625,4884.4375,452,0,7244,5066.03127002204,0.699341699340425
"118","JAWA BARAT","INDRAMAYU","KANDANGHAUR",3212190,3212,2017,"JANUARI","2017-01","'2017-01-24",886,3144.875,1252.5625,468.625,5752.0625,2208,0,6250,5940.94825888658,0.950551721421854
"119","JAWA BARAT","INDRAMAYU","BONGAS",3212200,3212,2017,"JANUARI","2017-01","'2017-01-24",732.375,1432,1292.375,247.4375,3704.1875,940,0,3930,3830.67794699589,0.974727212976053
"120","JAWA BARAT","INDRAMAYU","ANJATAN",3212210,3212,2017,"JANUARI","2017-01","'2017-01-24",583.1875,3898.5,1393.75,360,6235.4375,2340,0,6100,6418.52206261437,1.05221673157613
"121","JAWA BARAT","INDRAMAYU","SUKRA",3212220,3212,2017,"JANUARI","2017-01","'2017-01-24",688.375,2451.5,39.375,68.3125,3247.5625,782,0,3445,3351.05294213969,0.972729446194394
"122","JAWA BARAT","INDRAMAYU","PATROL",3212221,3212,2017,"JANUARI","2017-01","'2017-01-24",457.9375,1797.75,53.3125,102.375,2411.375,2234,0,3175,2522.77072371809,0.794573456289161
"123","JAWA BARAT","SUBANG","SAGALAHERANG",3213010,3213,2017,"JANUARI","2017-01","'2017-01-24",98.4375,312.9375,63.8125,305,780.1875,84,514,1168,938.633834082657,0.803624857947481
"124","JAWA BARAT","SUBANG","SERANGPANJANG",3213011,3213,2017,"JANUARI","2017-01","'2017-01-24",157.875,388.9375,74.9375,697.5,1319.25,657,76,1406,1599.01751759538,1.13728130696685
"125","JAWA BARAT","SUBANG","JALANCAGAK",3213020,3213,2017,"JANUARI","2017-01","'2017-01-24",50.0625,145.375,45.25,233.5625,474.25,204,103,699,581.95099228709,0.832547914573806
"126","JAWA BARAT","SUBANG","CIATER",3213021,3213,2017,"JANUARI","2017-01","'2017-01-24",73.0625,417.5,40.8125,272.9375,804.3125,234,258,1240,950.569956300227,0.766588674435667
"127","JAWA BARAT","SUBANG","CISALAK",3213030,3213,2017,"JANUARI","2017-01","'2017-01-24",99.1875,647.5625,153.25,216.3125,1116.3125,423,293,1676,1327.83100452924,0.792261935876634
"128","JAWA BARAT","SUBANG","KASOMALANG",3213031,3213,2017,"JANUARI","2017-01","'2017-01-24",68.625,303.9375,99.5,122.5,594.5625,200,208,926,694.805261715815,0.750329656280577
